tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-max()-X,tBodyAcc-max()-Y,tBodyAcc-max()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,Activity
0.512177308,-1.425086419,0.479416658,22.30232239,9.080169678,9.05682373,-0.170113118,-1.406554159,-1.324544271,shaking
1.543229945,0.211835973,-0.513823558,26.58126831,5.505874634,5.851654053,0.023545074,0.149569702,-0.08080368,shaking
-2.108711243,-0.579849243,-0.123155601,29.14878845,7.3878479,4.250259399,-0.002400448,0.173678749,-0.04389793,shaking
0.233792473,-0.063234217,0.082482731,33.17948914,6.089736938,7.720443726,0.022991783,0.176860609,-0.011214407,shaking
0.051446533,-0.265404256,-0.670111076,40.20240784,8.968902588,8.560928345,-0.007577193,0.170373214,-0.074523123,shaking
8.650650024,0.743873596,-3.925430298,35.74040222,8.233108521,0,0.045593262,0.493659973,-1.17817688,shaking
-1.606096523,0.014272417,0.585986546,35.39164734,7.771896362,10.66122437,0.032184601,0.179671478,0.119615173,shaking
0.346580907,-0.015175267,-0.171370658,40.85746765,7.490142822,11.15296936,0.006490607,0.190628052,-0.139016402,shaking
1.759657118,0.210767958,-0.053306585,39.12205505,7.467391968,10.20361328,0.041908264,0.183375549,0.108314514,shaking
-2.378713285,-0.467515833,-0.358290735,37.70550537,7.486557007,10.9046936,0.046117401,0.199371338,-0.173901367,shaking
-4.761837769,-0.6719045,-0.103130088,38.72186279,8.770889282,8.292938232,-0.00374794,0.184254646,0.281373024,shaking
0.004713022,-0.068692244,0.105951307,13.56011963,3.06880188,5.290527344,0.060738458,0.064678616,-0.03296068,shaking
-0.300039492,-0.049052891,-0.051721171,17.6853466,3.940979004,6.955932617,-0.006481171,-0.002291679,0.033863068,shaking
-0.308813083,-0.03182442,-0.009872328,16.63969421,3.538986206,8.657226563,0.031826973,0.058507919,-0.026833534,shaking
0.227953074,0.07331054,0.076264986,17.63868713,4.317855835,8.117645264,-0.017440796,0.042877197,-0.04634552,shaking
0.636426945,0.113735723,0.018718204,17.87395668,4.907684326,6.720245361,0.019116488,0.076019287,-0.236723466,shaking
-0.154431494,-0.001275013,0.089912018,18.28713799,3.631103516,8.109268188,0.049298096,0.08350118,0.021902466,shaking
0.124653536,0.009540034,0.049983395,14.86062622,5.103897095,7.298095703,0.055640666,0.089638265,0.045299276,shaking
-0.047752022,0.038429823,0.106488621,16.12164116,3.969696045,6.248855114,0.104308065,0.052414958,-0.15406901,shaking
-0.107231265,-0.010087556,0.03431272,16.01037407,3.142974854,8.13319397,0.04873759,0.047277832,-0.115844727,shaking
0.761787761,0.096005633,0.539129706,17.47238159,3.278167725,12.4737854,-0.042363485,0.125239054,0.230148315,shaking
-0.140182289,0.029603288,0.119754366,20.26840019,2.597412109,13.58644104,0.106443278,0.072503662,-0.051922607,shaking
0.050823814,0.020543651,0.023550423,18.61137199,2.264816284,10.25923157,-0.016193644,0.071716309,0.151001994,shaking
-0.26646328,0.00406297,0.668744085,19.52781677,2.840270996,12.42593384,0.045027161,0.087413025,-0.106030273,shaking
-0.821304815,-0.063106012,-0.376707511,16.74616814,8.670394897,7.389038086,-0.238580877,0.268139926,-0.332447399,shaking
0.04461909,0.002846412,0.054831597,19.24906731,6.705886841,10.10249329,-0.30855306,0.059350586,0.293438721,shaking
-0.117631496,0.073723986,-0.087509944,13.9704895,7.274185181,6.465408325,-0.301089287,0.17838192,0.030773163,shaking
0.14213541,-0.026115064,0.019063279,6.912857056,7.066009521,6.343383789,-0.001878866,-0.058537801,-0.19161377,shaking
-0.006854348,-0.018671639,0.011971952,3.719635248,3.838088989,3.687347412,0.012289429,-0.088860067,-0.100923665,shaking
-0.005133244,-0.037193711,0.057120657,4.621749878,3.049667358,2.61416626,-0.083411662,-0.016410319,0.021962484,shaking
-0.019901051,0.017007765,-0.011784271,3.503097773,2.909667969,2.218139648,-0.009748332,-0.066102091,-0.085991414,shaking
-0.023904539,-0.04436089,0.058460011,3.160919189,2.729019165,2.200195313,-0.064648438,-0.256274414,-0.441104126,shaking
-0.241130525,0.173077711,-0.227380575,18.66760445,10.6026001,17.37188721,0.370178223,0.014057704,-0.660978045,shaking
-0.067815108,-0.09433428,-0.004413242,19.71327019,6.614959717,19.25145149,-0.069814046,0.269564819,0.306057739,shaking
-0.092778591,-0.05043535,0.34191472,20.1463604,8.790039063,22.11207771,0.105725288,0.403962135,0.121988297,shaking
0.113263093,-0.033979819,0.540314491,17.99762154,6.67956543,21.79742622,0.367343358,0.50731005,-0.694521223,shaking
-0.092308288,-0.151767705,-0.024241295,19.1078949,12.1375885,13.56370544,0.061295509,-0.234641075,0.170336723,shaking
-0.367023996,0.319408734,-0.206821023,19.52183533,9.101104736,8.311477661,-0.249862671,-0.146237183,0.324261475,shaking
-0.412275161,0.040394153,-0.066593489,15.58206177,9.165710449,5.903091431,-0.145800273,0.067303975,0.152089437,shaking
-0.051926105,0.013981395,-0.037359418,11.00697327,3.142959595,5.306091309,-0.057898385,0.306912013,-0.027712141,shaking
-0.413999922,-0.17573481,-0.113414718,19.5026989,7.220352173,14.36889648,0.405761719,0.110825759,-0.25201416,shaking
0.382204919,-0.045099825,0.211303997,17.44247437,6.725021362,13.62232971,0.289179484,0.113061523,-0.235024007,shaking
-0.082916752,-0.018381889,-0.03823752,17.38505554,8.015960693,14.83908081,0.461140951,0.0096639,-0.441379801,shaking
0.302428139,-0.029382324,0.220667747,17.24148369,4.497314453,11.45683289,0.156002808,0.359902954,0.017649333,shaking
-0.079897099,0.085840631,-0.04320976,14.64288139,6.825531006,10.46620178,-0.089020729,0.213998795,0.262198448,shaking
-0.027590072,0.032885062,0.023879692,11.96890259,4.28793335,6.820739746,-0.099904742,0.320533752,0.361707415,shaking
-0.421589613,0.027460871,-0.084735065,13.6678009,4.153930664,7.214370728,0.30817159,-0.035135905,-0.248162842,shaking
-0.017148683,0.018079172,-0.04067795,13.98126221,4.908889771,10.47457886,0.011691093,0.245194435,0.05600071,shaking
-0.199198566,-3.69E-04,-0.016910441,11.70329285,6.608978271,8.462219238,0.209956578,0.089612688,-0.031986782,shaking
-0.101725915,0.069916854,-0.089592053,14.55554199,6.250061035,7.378265858,0.096043587,0.002396584,-0.026278496,shaking
-0.019423478,-0.103027958,-0.161041772,14.03390503,7.444076538,8.726623535,0.084614054,0.416066488,0.258277384,shaking
0.430973122,-0.087008687,0.222042709,13.2933197,6.735794067,9.414550781,0.21175944,0.003013102,-0.202582804,shaking
-0.152099512,0.015126018,-0.0393651,16.40638542,8.408370972,9.050857544,-0.036736488,-0.0958004,-0.422734261,shaking
0.010349643,-0.03829329,9.50E-04,17.80259705,3.098709106,5.334793091,-0.093986511,0.164240837,-4.11E-04,shaking
-0.122135026,0.04509854,-0.094423267,17.02493286,7.484741211,10.42074585,-0.102388509,-0.19101766,-0.229170736,shaking
0.263218632,-0.052232679,0.091657903,15.59402657,5.178070068,11.14457703,0.113723755,0.008642197,-0.032952309,shaking
-0.047197992,0.029300049,-0.018733093,14.60699463,4.053436279,12.39842224,0.240744591,0.04359436,0.014185905,shaking
-0.059426878,0.01778407,-0.034078496,16.60021973,3.772277832,10.59899902,0.153308105,0.219858805,0.160673014,shaking
-0.201021683,-0.009808893,-0.080954481,16.91127205,4.559524536,10.62533569,0.294178263,0.065116374,0.155667114,shaking
-0.317416851,0.008788476,-0.067689176,13.00379944,3.285339355,8.682357788,0.791915894,0.061854045,-0.171971639,shaking
-0.237930627,-0.02575474,-0.226194793,13.33520508,4.264007568,11.18406677,0.27997413,0.291337233,0.248083261,shaking
-0.113915975,-0.026377223,0.176040929,14.99342346,7.062423706,15.40739632,0.32384164,0.176068987,0.081265041,shaking
0.438024939,-0.031318094,0.031733491,15.18126106,3.744781494,13.45603943,0.143862915,0.30385437,0.384350586,shaking
0.227103408,0.032326038,0.068908569,12.88415527,3.711273193,10.09173584,0.156882286,0.464798927,-0.182486534,shaking
0.133387922,0.005275547,-0.03216657,14.70388603,5.182861328,9.135803223,0.343809945,0.250588553,-0.033366612,shaking
